Day,Creative Name,Ad ID,DSC Name,Total Spent,Impressions,Clicks,Click Through Rate,Average CPM,Average CPC,Engagement Rate,Viral Impressions
1,LinkedIn1-1,99955033,LinkedIn1-1,13.54,635,4,0.63%,21.32,3.38,0.83%,0
2,LinkedIn1-1,99955033,LinkedIn1-1,29.73,1248,8,0.65%,26.42,4.05,1.18%,0
3,LinkedIn1-1,99955033,LinkedIn1-1,47.12,1822,13,0.87%,30.3,3.48,1.59%,0
4,LinkedIn1-1,99955033,LinkedIn1-1,66.37,2421,14,0.17%,32.14,19.25,0.70%,0
5,LinkedIn1-1,99955033,LinkedIn1-1,87.86,3071,20,0.92%,33.07,3.58,1.43%,0
6,LinkedIn1-1,99955033,LinkedIn1-1,109.27,3846,22,0.26%,27.62,10.7,1.49%,0
7,LinkedIn1-1,99955033,LinkedIn1-1,131.65,4654,24,0.25%,27.7,11.19,1.19%,0
8,LinkedIn1-1,99955033,LinkedIn1-1,157.42,5504,27,0.35%,30.31,8.59,0.67%,0
9,LinkedIn1-1,99955033,LinkedIn1-1,177.51,6252,27,0%,26.86,0,0.47%,0
10,LinkedIn1-1,99955033,LinkedIn1-1,194.64,6906,29,0.31%,26.2,8.57,0.51%,0
11,LinkedIn1-1,99955033,LinkedIn1-1,208.82,7432,31,0.38%,26.95,7.09,0.58%,0
12,LinkedIn1-1,99955033,LinkedIn1-1,221.95,7956,32,0.19%,25.05,13.13,0.39%,0
13,LinkedIn1-1,99955033,LinkedIn1-1,235.57,8523,33,0.18%,24.02,13.62,0.55%,0
14,LinkedIn1-1,99955033,LinkedIn1-1,248.68,9123,35,0.33%,21.85,6.56,0.70%,0
15,LinkedIn1-1,99955033,LinkedIn1-1,267.09,9873,38,0.40%,24.55,6.14,0.73%,0
16,LinkedIn1-1,99955033,LinkedIn1-1,290.48,10798,42,0.43%,25.29,5.85,1.07%,0
17,LinkedIn1-1,99955033,LinkedIn1-1,314.1,11781,43,0.10%,24.03,23.62,0.51%,0
18,LinkedIn1-1,99955033,LinkedIn1-1,337.6,12708,47,0.43%,25.35,5.88,0.63%,0
19,LinkedIn1-1,99955033,LinkedIn1-1,362.3,13689,54,0.71%,25.18,3.53,1.02%,0
20,LinkedIn1-1,99955033,LinkedIn1-1,380.62,14473,54,0%,23.36,0,0%,0
21,LinkedIn1-1,99955033,LinkedIn1-1,396.63,15241,54,0%,20.84,0,0%,0
22,LinkedIn1-1,99955033,LinkedIn1-1,411.09,15946,54,0%,20.51,0,0.34%,0
23,LinkedIn1-1,99955033,LinkedIn1-1,428.85,16779,61,0.84%,21.32,2.54,1.16%,0
24,LinkedIn1-1,99955033,LinkedIn1-1,446.87,17634,65,0.47%,21.08,4.51,0.67%,0
25,LinkedIn1-1,99955033,LinkedIn1-1,464.05,18334,67,0.29%,24.54,8.59,0.49%,0
26,LinkedIn1-1,99955033,LinkedIn1-1,482.69,19075,72,0.68%,25.15,3.73,1.01%,0
27,LinkedIn1-1,99955033,LinkedIn1-1,504.77,19997,73,0.11%,23.95,22.08,0.31%,0
28,LinkedIn1-1,99955033,LinkedIn1-1,528.98,20979,76,0.31%,24.66,8.07,0.71%,0
29,LinkedIn1-1,99955033,LinkedIn1-1,545.84,21786,78,0.25%,20.9,8.43,0.57%,0
30,LinkedIn1-1,99955033,LinkedIn1-1,563.25,22378,78,0%,29.4,0,0%,0
31,LinkedIn1-1,99955033,LinkedIn1-1,572.87,22815,81,0.69%,22.02,3.21,0.89%,0
32,LinkedIn1-1,99955033,LinkedIn1-1,585.88,23257,82,0.23%,29.45,13.01,0.65%,0
33,LinkedIn1-1,99955033,LinkedIn1-1,601.47,23834,82,0%,27.01,0,0%,0
34,LinkedIn1-1,99955033,LinkedIn1-1,613.37,24356,82,0%,22.79,0,0%,0
35,LinkedIn1-1,99955033,LinkedIn1-1,632.65,25198,84,0.24%,22.9,9.64,0.44%,0
36,LinkedIn1-1,99955033,LinkedIn1-1,653.12,26148,88,0.42%,21.55,5.12,0.62%,0
37,LinkedIn1-1,99955033,LinkedIn1-1,672.77,26678,92,0.76%,37.07,4.91,0.96%,0
38,LinkedIn1-1,99955033,LinkedIn1-1,691.64,27541,93,0.12%,21.87,18.87,0.43%,0
39,LinkedIn1-1,99955033,LinkedIn1-1,710.05,28278,97,0.54%,24.97,4.6,0.74%,0
40,LinkedIn1-1,99955033,LinkedIn1-1,724.3,28849,97,0%,24.96,0,0%,0
41,LinkedIn1-1,99955033,LinkedIn1-1,740.84,29637,99,0.25%,20.99,8.27,0.45%,0
42,LinkedIn1-1,99955033,LinkedIn1-1,757.75,30538,101,0.22%,18.77,8.46,0.42%,0
43,LinkedIn1-1,99955033,LinkedIn1-1,772.55,31280,102,0.14%,19.95,14.8,0.34%,0
44,LinkedIn1-1,99955033,LinkedIn1-1,788.73,32019,102,0%,21.9,0,0%,0
45,LinkedIn1-1,99955033,LinkedIn1-1,807.57,32919,104,0.22%,20.94,9.42,0.64%,0
46,LinkedIn1-1,99955033,LinkedIn1-1,826.13,33693,106,0.26%,23.98,9.28,0.46%,0
47,LinkedIn1-1,99955033,LinkedIn1-1,842.59,34475,112,0.77%,21.05,2.74,0.97%,0
48,LinkedIn1-1,99955033,LinkedIn1-1,855.55,35058,112,0%,22.23,0,0%,0
49,LinkedIn1-1,99955033,LinkedIn1-1,870.82,35770,116,0.56%,21.45,3.82,0.76%,0
50,LinkedIn1-1,99955033,LinkedIn1-1,884.92,36337,117,0.18%,24.87,14.1,0.38%,0
1,Linkedin 2-2,99955043,Linkedin 2-2,26.34,712,3,0.42%,20.74,4.92,0.42%,0
2,Linkedin 2-2,99955043,Linkedin 2-2,38.13,1170,4,0.22%,25.27,11.57,0.22%,0
3,Linkedin 2-2,99955043,Linkedin 2-2,51.9,1668,4,0%,23.68,0,0.60%,0
4,Linkedin 2-2,99955043,Linkedin 2-2,64.6,2379,4,0%,19.37,0,0.14%,0
5,Linkedin 2-2,99955043,Linkedin 2-2,79.28,3017,6,0.31%,19.91,6.35,0.31%,0
6,Linkedin 2-2,99955043,Linkedin 2-2,94.57,3931,6,0%,16.06,0,0%,0
7,Linkedin 2-2,99955043,Linkedin 2-2,108.17,4936,9,0.30%,15.21,5.1,0.40%,0
8,Linkedin 2-2,99955043,Linkedin 2-2,124.78,5741,13,0.50%,16.9,3.4,0.50%,0
9,Linkedin 2-2,99955043,Linkedin 2-2,142.36,6610,16,0.35%,19.11,5.54,0.46%,0
10,Linkedin 2-2,99955043,Linkedin 2-2,158.41,7444,18,0.24%,21.08,8.79,0.36%,0
11,Linkedin 2-2,99955043,Linkedin 2-2,176.09,8095,18,0%,24.66,0,0%,0
12,Linkedin 2-2,99955043,Linkedin 2-2,191.18,8847,24,0.80%,23.51,2.95,0.93%,0
13,Linkedin 2-2,99955043,Linkedin 2-2,209.63,9612,26,0.26%,19.72,7.54,0.78%,0
14,Linkedin 2-2,99955043,Linkedin 2-2,224.96,10645,31,0.48%,17.86,3.69,0.87%,0
15,Linkedin 2-2,99955043,Linkedin 2-2,224.96,11562,34,0.33%,16.72,5.11,0.65%,0
1,Linkedin 2-1,99955053,Linkedin 2-1,16.94,687,5,0.73%,24.66,3.39,0.83%,0
2,Linkedin 2-1,99955053,Linkedin 2-1,36.32,1366,9,0.59%,28.55,4.85,1.13%,0
3,Linkedin 2-1,99955053,Linkedin 2-1,57.21,2041,10,0.15%,30.95,20.89,0.40%,0
4,Linkedin 2-1,99955053,Linkedin 2-1,79.09,2702,12,0.30%,33.1,10.94,0.86%,0
5,Linkedin 2-1,99955053,Linkedin 2-1,97.91,3310,16,0.66%,30.95,4.7,1.09%,0
6,Linkedin 2-1,99955053,Linkedin 2-1,113.08,3929,18,0.32%,24.5,7.58,1.39%,0
7,Linkedin 2-1,99955053,Linkedin 2-1,128.03,4557,20,0.32%,23.81,7.48,0.58%,0
8,Linkedin 2-1,99955053,Linkedin 2-1,141.98,5089,20,0%,26.22,0,0.85%,0
9,Linkedin 2-1,99955053,Linkedin 2-1,157.69,5725,20,0%,24.7,0,0.26%,0
